UserID|QuestionID|CogLoad|Token|TokenLength|KeystrokeCount|StartTime|EndTime|VizKSTimes|RevisCount|POS
01|1|1|The|3|3|0.125|0.5|125.0,140.0,141.0|0|DT
01|1|1|last|4|4|1.093|1.937|625.0,141.0,312.0,282.0|0|JJ
01|1|1|book|4|4|2.156|2.796|156.0,140.0,204.0,187.0|0|NN
01|1|1|i|1|1|4.421|4.484|1234.0|0|FW
01|1|1|read|4|4|5.015|5.515|187.0,63.0,125.0,172.0|0|NN
01|1|1|was|3|3|5.734|6.203|188.0,172.0,172.0|0|VBD
01|1|1|The|3|3|7.343|7.734|156.0,141.0,94.0|0|DT
01|1|1|Hunger|6|6|8.421|9.171|125.0,79.0,156.0,140.0,110.0,94.0|0|NNP
01|1|1|Games|5|5|9.609|10.468|156.0,250.0,187.0,94.0,141.0|0|NNPS
01|1|1|series|6|6|10.859|11.906|219.0,187.0,141.0,219.0,140.0,219.0|0|NN
01|1|1|.|1|1|12.015|12.093|250.0|0|.
01|1|1|I|1|1|13.0|13.125|110.0|0|PRP
01|1|1|also|4|4|13.64|14.218|422.0,156.0,204.0,109.0|0|RB
01|1|1|went|4|4|14.421|15.031|187.0,235.0,140.0,141.0|0|VBD
01|1|1|to|2|2|15.187|15.406|125.0,78.0|0|TO
01|1|1|see|3|3|15.546|16.078|156.0,141.0,281.0|0|VB
01|1|1|it|2|2|16.312|16.609|125.0,172.0|0|PRP
01|1|1|in|2|2|16.765|17.0|125.0,110.0|0|IN
01|1|1|the|3|3|17.14|17.437|140.0,125.0,31.0|0|DT
01|1|1|movies|6|6|17.609|18.718|203.0,141.0,421.0,157.0,109.0,141.0|0|NNS
01|1|1|.|1|1|18.984|19.047|406.0|0|.
01|1|1|The|3|3|20.734|21.062|141.0,78.0,141.0|0|DT
01|1|1|book|4|4|21.39|22.046|343.0,172.0,203.0,188.0|0|NN
01|1|1|was|3|3|22.203|22.546|125.0,78.0,124.0|0|VBD
01|1|1|much|4|4|24.093|24.859|1468.0,219.0,344.0,125.0|0|RB
01|1|1|better|6|6|25.046|25.875|171.0,141.0,188.0,156.0,125.0,94.0|0|JJR
01|1|1|than|4|12|26.015|28.312|109.0,344.0,187.0,141.0,172.0,484.0,141.0,93.0|4|IN
01|1|1|the|3|7|28.453|29.687|125.0,78.0,609.0,156.0,125.0|2|DT
01|1|1|movie|5|5|30.031|30.937|297.0,172.0,359.0,109.0,172.0|0|NN
01|1|1|because|7|9|31.265|33.64|203.0,374.0,266.0,516.0,188.0,515.0,110.0,109.0|1|IN
01|1|1|the|3|3|35.234|35.593|1172.0,109.0,141.0|0|DT
01|1|1|director|8|8|38.562|40.203|187.0,375.0,156.0,172.0,266.0,250.0,156.0,156.0|0|NN
01|1|1|couldnt|7|7|40.625|41.703|282.0,109.0,94.0,218.0,188.0,187.0,157.0|0|NN
01|1|1|get|3|3|42.109|42.468|344.0,141.0,125.0|0|VB
01|1|1|all|3|3|44.015|44.359|125.0,141.0,140.0|0|PDT
01|1|1|the|3|3|44.531|44.828|110.0,94.0,109.0|0|DT
01|1|1|details|7|7|45.593|47.14|781.0,219.0,250.0,203.0,219.0,250.0,312.0|0|NNS
01|1|1|form|4|4|47.718|48.187|343.0,125.0,110.0,140.0|0|VBP
01|1|1|the|3|3|48.296|48.625|62.0,157.0,31.0|0|DT
01|1|1|book|4|4|49.718|50.328|953.0,188.0,156.0,172.0|0|NN
01|1|1|in|2|2|50.5|50.781|141.0,156.0|0|IN
01|1|1|the|3|3|50.937|51.234|141.0,94.0,94.0|0|DT
01|1|1|movie|5|5|51.359|52.187|172.0,125.0,281.0,156.0,141.0|0|NN
01|1|1|.|1|1|52.281|52.375|219.0|0|.
01|1|1|The|3|3|53.093|53.515|297.0,188.0,125.0|0|DT
01|1|1|author|6|6|53.812|55.281|266.0,359.0,188.0,219.0,203.0,359.0|0|NN
01|1|1|did|3|3|56.25|56.609|766.0,125.0,125.0|0|VBD
01|1|1|a|1|1|56.859|56.968|203.0|0|DT
01|1|1|great|5|5|57.125|57.796|125.0,109.0,141.0,156.0,125.0|0|JJ
01|1|1|job|3|3|58.703|59.328|875.0,172.0,328.0|0|NN
01|1|1|with|4|4|67.843|68.281|5468.0,94.0,141.0,93.0|0|IN
01|1|1|detail|6|6|68.546|69.609|250.0,141.0,203.0,219.0,172.0,219.0|0|NN
01|1|1|and|3|3|69.843|70.187|109.0,94.0,141.0|0|CC
01|1|1|imagination|11|11|72.062|74.281|1844.0,281.0,219.0,359.0,172.0,141.0,234.0,282.0,140.0,78.0,188.0|0|NN
01|1|1|.|1|1|74.437|74.531|281.0|0|.
01|1|1|The|3|3|75.843|76.218|172.0,110.0,125.0|0|DT
01|1|1|book|4|4|76.375|77.0|204.0,125.0,203.0,218.0|0|NN
01|1|1|is|2|2|77.156|77.406|141.0,140.0|0|VBZ
01|1|1|about|5|5|77.578|78.39|188.0,312.0,141.0,78.0,172.0|0|IN
01|1|1|a|1|1|79.187|79.328|109.0|0|DT
01|1|1|girl|4|4|79.796|80.328|437.0,141.0,156.0,125.0|0|NN
01|1|1|who|3|3|81.296|81.921|859.0,375.0,110.0|0|WP
01|1|1|lives|5|5|82.156|83.062|219.0,187.0,297.0,141.0,140.0|0|VBZ
01|1|1|in|2|2|83.203|83.468|125.0,140.0|0|IN
01|1|1|a|1|1|83.703|83.843|203.0|0|DT
01|1|1|country|7|7|84.656|85.75|828.0,172.0,47.0,187.0,328.0,110.0,156.0|0|NN
01|1|1|that|4|4|85.859|86.375|78.0,156.0,156.0,110.0|0|WDT
01|1|1|is|2|2|86.906|87.156|438.0,156.0|0|VBZ
01|1|1|divided|7|7|90.765|92.047|3531.0,188.0,281.0,125.0,266.0,156.0,125.0|0|VBN
01|1|1|in|2|2|92.171|92.453|109.0,141.0|0|IN
01|1|1|12|2|2|93.656|93.89|1188.0,94.0|0|CD
01|1|1|districts|9|9|94.546|97.562|562.0,375.0,235.0,297.0,218.0,313.0,891.0,250.0,328.0|0|NNS
01|1|1|and|3|3|99.359|99.765|1328.0,156.0,141.0|0|CC
01|1|1|at|2|2|101.312|101.609|1484.0,172.0|0|IN
01|1|1|a|1|1|101.75|101.89|157.0|0|DT
01|1|1|certain|7|7|102.89|103.937|890.0,172.0,78.0,250.0,141.0,140.0,125.0|0|JJ
01|1|1|time|4|4|104.031|104.687|110.0,156.0,188.0,187.0|0|NN
01|1|1|each|4|4|105.109|106.171|359.0,469.0,234.0,250.0|0|DT
01|1|1|year|4|4|106.75|107.281|485.0,140.0,156.0,110.0|0|NN
01|1|1|the|3|3|107.437|107.75|141.0,109.0,125.0|0|DT
01|2|6|If|2|2|3.25|3.61|125.0,235.0|0|IN
01|2|6|i|1|1|4.313|4.391|672.0|0|FW
01|2|6|was|3|3|4.703|5.438|187.0,204.0,437.0|0|VBD
01|2|6|hired|5|9|6.172|9.125|594.0,563.0,312.0,1188.0,187.0,110.0,203.0|2|VBN
01|2|6|to|2|2|9.266|9.5|156.0,94.0|0|TO
01|2|6|write|5|5|11.438|12.36|1969.0,172.0,172.0,156.0,312.0|0|VB
01|2|6|and|3|3|12.5|12.86|47.0,172.0,78.0|0|CC
01|2|6|act|3|3|13.141|13.75|234.0,234.0,250.0|0|VB
01|2|6|in|2|2|13.844|14.11|109.0,125.0|0|IN
01|2|6|a|1|1|14.266|14.391|172.0|0|DT
01|2|6|movie|5|5|14.61|15.578|235.0,218.0,313.0,156.0,172.0|0|NN
01|2|6|i|1|1|15.86|16.0|203.0|0|FW
01|2|6|think|5|5|16.703|17.36|484.0,125.0,141.0,125.0,125.0|0|VBP
01|2|6|that|4|4|17.485|17.875|110.0,78.0,109.0,94.0|0|IN
01|2|6|my|2|2|18.235|18.938|297.0,625.0|0|PRP$
01|2|6|movie|5|5|19.172|19.953|172.0,125.0,297.0,141.0,109.0|0|NN
01|2|6|wuold|5|5|20.157|22.688|141.0,187.0,1641.0,234.0,313.0|0|NN
01|2|6|be|2|2|22.875|23.11|156.0,157.0|0|VB
01|2|6|about|5|5|23.375|23.938|172.0,78.0,125.0,79.0,156.0|0|IN
01|2|6|a|1|1|24.188|24.313|219.0|0|DT
01|2|6|girl|4|4|24.891|25.36|563.0,109.0,110.0,125.0|0|NN
01|2|6|who|3|11|25.563|28.157|140.0,203.0,125.0,578.0,141.0,391.0,156.0|4|WP
01|2|6|is|2|2|28.328|28.563|156.0,157.0|0|VBZ
01|2|6|in|2|2|28.828|29.11|187.0,141.0|0|IN
01|2|6|school|6|6|29.703|30.672|546.0,204.0,156.0,187.0,157.0,171.0|0|NN
01|2|6|and|3|3|31.032|31.453|235.0,93.0,203.0|0|CC
01|2|6|wants|5|5|37.391|38.547|4391.0,172.0,172.0,172.0,515.0|0|VBZ
01|2|6|to|2|2|39.125|39.36|343.0,94.0|0|TO
01|2|6|get|3|3|40.11|40.485|703.0,93.0,172.0|0|VB
01|2|6|married|7|7|40.61|41.657|110.0,140.0,188.0,156.0,125.0,125.0,156.0|0|VBN
01|2|6|.|1|1|42.735|42.813|1235.0|0|.
01|2|6|BUt|3|3|43.188|43.5|94.0,62.0,157.0|0|NNP
